number_of_years_as_a_starter
0
0
10
1
0
3
4
0
0
0
0
3
0
0
0
19
5
1
0
2
0
0
0
0
0
0
0
0
2
1
2
0
0
1
0
0
2
2
0
1
5
0
5
1
0
0
0
7
3
0
0
2
0
10
0
0
0
14
4
0
0
5
0
6
9
11
15
0
3
0
0
0
0
0
0
1
2
0
0
0
0
1
4
1
2
0
2
1
1
1
6
4
0
9
0
4
0
0
0
0
4
0
0
2
0
0
0
4
5
0
0
0
1
0
3
0
1
0
5
5
0
21
1
8
0
0
5
1
0
0
17
1
13
0
0
0
0
0
0
0
14
4
1
2
11
0
0
0
0
5
6
0
3
0
0
0
3
0
7
0
2
0
3
3
0
3
3
1
0
0
0
0
0
0
1
0
5
0
1
1
0
1
0
0
0
5
3
1
0
0
0
1
0
1
1
0
0
4
0
1
0
8
0
2
6
0
2
12
4
0
1
1
1
14
0
0
0
1
0
0
2
1
0
