feature,VIF
college,1.1052088741451056
conference,1.1740770441312978
years,26.758598474580065
games_played,6.588015450068447
completions,63.065926109691205
passes_attempted,80.8027041845631
passing_yards,43.7905428806984
passing_touchdowns,10.250879358338779
interceptions,4.084314694860063
passer_rating,1.6039360580292468
rushing_attempts,11.330135110828742
rushing_yards,10.984452798513097
rushing_touchdowns,7.82133792069758
wins,36.96932921046543
losses,40.18203561079681
highest_rank,1.6201778559034627
conference_wins,4.759050715534064
conference_losses,5.606231351994153
points_for,15.308325536088782
points_against,12.187913322541878
height,2.0568802614707633
weight,1.8834542499025788
age,1.418480117287529
