weighted_career_approximate_value
1
8
91
8
1
58
25
0
0
0
0
23
0
0
13
167
44
14
8
15
0
5
2
0
0
0
5
24
34
5
56
9
1
6
2
6
10
16
4
7
40
12
44
9
6
4
2
68
38
0
0
16
4
86
0
1
4
163
57
1
0
54
0
31
115
136
146
0
36
0
0
7
1
0
1
10
24
0
0
3
0
1
33
7
17
6
16
8
9
6
91
49
0
90
0
38
0
2
18
4
57
2
0
13
2
0
2
84
96
0
0
0
2
0
52
4
14
4
48
45
1
184
3
57
1
0
72
12
8
1
131
13
121
0
0
0
0
0
2
0
121
37
12
6
91
1
12
1
0
55
47
0
22
0
0
0
44
1
92
0
15
0
42
34
1
26
23
19
1
9
0
0
0
0
3
7
62
2
5
1
0
15
1
1
1
40
32
12
0
2
1
14
0
12
8
1
2
32
0
17
0
94
-4
17
83
0
22
107
16
2
5
10
13
98
0
0
1
7
0
0
29
13
0
