
- Threshold: 0.06902743130922318  - Accuracy: 0.6578947368421053
- Threshold: 0.08828204870223999  - Accuracy: 0.6842105263157895
- Threshold: 0.09445416927337646  - Accuracy: 0.6052631578947368
- Threshold: 0.09001795202493668  - Accuracy: 0.5789473684210527
- Threshold: 0.09068851172924042  - Accuracy: 0.631578947368421
- Threshold: 0.09786000847816467  - Accuracy: 0.6052631578947368
- Threshold: 0.10583070665597916  - Accuracy: 0.6052631578947368
- Threshold: 0.10716483741998672  - Accuracy: 0.5263157894736842
- Threshold: 0.12388375401496887  - Accuracy: 0.5526315789473685
- Threshold: 0.13279055058956146  - Accuracy: 0.47368421052631576
