
- Threshold: 0.04107097536325455  - RMSE: 28.953138695843823
- Threshold: 0.06379891186952591  - RMSE: 31.762896006042936
- Threshold: 0.08835607767105103  - RMSE: 39.57187360785387
- Threshold: 0.06905999779701233  - RMSE: 34.862087973517106
- Threshold: 0.0809037834405899  - RMSE: 36.647229927357614
- Threshold: 0.09379688650369644  - RMSE: 36.163083990249724
- Threshold: 0.11062420159578323  - RMSE: 37.465249696404506
- Threshold: 0.12709489464759827  - RMSE: 32.343536941200966
- Threshold: 0.13694612681865692  - RMSE: 37.192258101680416
- Threshold: 0.18834814429283142  - RMSE: 41.84031284100064
