first_team_all_pro_selections,pro_bowl_selections,number_of_years_as_a_starter,weighted_career_approximate_value,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,rushing_attempts,rushing_yards,rushing_touchdowns,height,weight,cluster,year,position,player_id,player,team,round,pick,final_year,age,college
-0.14982047586544328,-0.33128758367842703,0.8442365303229471,0.9706766139909325,0.8495709491996905,0.7629429361352716,0.7086091844213313,0.7007603087092724,0.5590393656232925,0.7826131708256613,0.3694185114484185,-0.009700959290896748,0.26015073375865677,0.19233993184585452,0.5562556948318289,0,2000,QB,2000-18,Chad Pennington,NYJ,1,18,2010,24,42
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.3441510768673621,-0.19381684068530797,-0.3353021914896034,-0.3251234818452871,-0.3347729290835172,-0.286209977793891,-0.3319387205534819,-0.4423180477320735,-0.4904315123438729,-0.5145005077594019,-0.1651888858763582,-0.0870886664127104,1,2000,QB,2000-75,Chris Redman,BAL,3,75,2011,23,41
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.6013999729048546,-0.6712993885987818,-0.5637632878751643,-0.5789675257179626,-0.5546929215401941,-0.5053486964576053,-0.6217222123120592,-0.5914125177856333,-0.4784132485175485,-0.5145005077594019,-0.8802465213207752,0.37244302019053194,2,2000,QB,2000-163,Tee Martin,PIT,5,163,2003,22,77
-0.14982047586544328,0.7497561104301244,1.6806040117613925,1.0278430353325976,0.9733627208809614,1.037912184285036,1.0757389999396636,1.0536930039990713,0.7677429072077822,1.4290532678255643,0.02705343206617015,-0.1899749166857628,0.3708151968326652,-0.8802465213207752,-1.373777388901789,-1,2000,QB,2000-168,Marc Bulger,NOR,6,168,2009,23,96
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.5442335515631896,-0.5475076169175108,-0.5115436087013218,-0.5076394472744009,-0.5182045883866104,-0.49491351937838074,-0.48797598534656195,-0.5638024307386778,-0.43471047096727794,-0.5145005077594019,0.19233993184585452,0.5562556948318289,2,2000,QB,2000-183,Spergon Wynn,CLE,6,183,2001,22,80
7.812067670126686,7.776540122135708,5.304863097994656,4.657910790528324,5.199967496855786,5.757265689621052,5.732518474207196,5.749090913685034,6.267081227959087,4.081686769307925,3.2022134424660536,0.7092097314110539,2.584104458312833,0.7882212947162006,-1.0980583769398435,-1,2000,QB,2000-199,Tom Brady,NWE,6,199,2022,23,46
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.6013999729048546,-0.7066684662220021,-0.5670270178235295,-0.5863101220283292,-0.5597136030400088,-0.5053486964576053,-0.644013250139642,-0.6190226048325888,-0.5188383177515488,-0.5145005077594019,0.013575522984743925,-0.6385266903366013,1,2000,QB,2000-202,Todd Husak,WAS,6,202,2000,22,74
-0.14982047586544328,-0.33128758367842703,-0.2709201115949803,-0.25840144485486466,-0.016971452569206527,-0.21617604837427518,-0.2128866525296827,-0.2163979878061934,-0.18185820700164612,-0.13131938010523614,-0.3760538388193803,-0.4336179015285212,-0.5145005077594019,-1.5357160204781524,-0.7304330276572497,1,2000,QB,2000-212,Tim Rattay,SFO,7,212,2007,23,40
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.6013999729048546,-0.6359303109755615,-0.5596836254397078,-0.5758206987278054,-0.5515107994628466,-0.5053486964576053,-0.6217222123120592,-0.5858905003762421,-0.5013572067314406,-0.5145005077594019,-1.2377753390429793,0.2805366828698835,1,2000,QB,2000-214,Jarious Jackson,DEN,7,214,2003,23,57
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.6013999729048546,-0.7066684662220021,-0.568658882797712,-0.5873590643583816,-0.5595721753921268,-0.5053486964576053,-0.644013250139642,-0.6190226048325888,-0.5199308871903056,-0.5145005077594019,-2.8466550187929154,-2.8442787860321643,-1,2000,QB,2000-234,Joe Hamilton,TAM,7,234,2000,23,27
-0.14982047586544328,1.8307998045386757,1.4018148512819109,2.028255408811735,1.8045360450266381,0.9057311213762472,1.0998646735308681,1.0289431656197026,0.8825298550792515,1.31759807868765,4.196176576156452,6.156760953052279,3.4694201629048997,-1.8336567019133254,-1.189964714260492,-1,2001,QB,2001-1,Michael Vick,ATL,1,1,2015,21,93
2.5041422394652666,6.695496428027157,4.747284777035692,4.171996209124171,4.351109633898498,5.258730940008274,4.946336197832938,5.122849288863063,5.453137415779578,4.7727089419629944,2.1254200476347886,0.3038664696322945,2.252111069090808,-1.6548922930522234,-0.9142457022985466,-1,2001,QB,2001-32,Drew Brees,SDG,2,32,2020,22,65
-0.14982047586544328,-0.33128758367842703,0.007869048884501528,-0.1440686021715347,-0.052340530192426814,-0.12642347479423338,-0.0838667459332402,-0.11145867307766978,-0.17142302992242164,0.18075514948092394,0.21480202398546763,0.048205220963211746,-0.18250711853737675,-0.5823058398856021,0.188630345549235,1,2001,QB,2001-53,Quincy Carter,DAL,2,53,2004,23,26
-0.14982047586544328,-0.33128758367842703,-0.5497092720744622,-0.5728167622340221,-0.4944540004826804,-0.5286781909302388,-0.5401566595060245,-0.5203967169287831,-0.48447834229915626,-0.48797598534656195,-0.5306703262823311,-0.43143276265100766,-0.5145005077594019,-1.1781872027559481,0.004817670907938061,1,2001,QB,2001-59,Marques Tuiasosopo,OAK,2,59,2008,22,94
-0.14982047586544328,-0.33128758367842703,-0.2709201115949803,-0.3441510768673621,-0.2115013794969181,-0.25370894278047446,-0.21550900835481362,-0.2835054067262533,-0.34882104026923794,-0.06444626662248754,-0.3263556821348604,-0.35604547137679093,0.1494862706846484,0.5498687495680588,0.8319747067937743,1,2001,QB,2001-106,Chris Weinke,CAR,4,106,2007,29,23
