
- Threshold: 0.043732523918151855  - RMSE: 1.537255521146235
- Threshold: 0.04546575993299484  - RMSE: 1.6377585270218162
- Threshold: 0.10698584467172623  - RMSE: 2.216456230090854
- Threshold: 0.04784779995679855  - RMSE: 1.6109789038424809
- Threshold: 0.09891946613788605  - RMSE: 1.5238155419769583
- Threshold: 0.11789603531360626  - RMSE: 1.8735289462612241
- Threshold: 0.12160773575305939  - RMSE: 1.686869020705624
- Threshold: 0.12457772344350815  - RMSE: 1.664406769020694
- Threshold: 0.14403526484966278  - RMSE: 1.6835120902532477
- Threshold: 0.1489318609237671  - RMSE: 1.902132743856204
