
- Threshold: 0.04965855926275253  - RMSE: 3.0116911197599925
- Threshold: 0.06118929013609886  - RMSE: 2.9172169330438686
- Threshold: 0.10687040537595749  - RMSE: 3.2803141559461473
- Threshold: 0.0921085849404335  - RMSE: 3.2123880862787084
- Threshold: 0.0930023193359375  - RMSE: 3.2355279500208005
- Threshold: 0.11081584542989731  - RMSE: 3.1592035448098237
- Threshold: 0.11551765352487564  - RMSE: 3.1561225322241984
- Threshold: 0.11902143061161041  - RMSE: 3.479154631436478
- Threshold: 0.12060542404651642  - RMSE: 3.5990276893762903
- Threshold: 0.13121044635772705  - RMSE: 4.203511082940173
